Windows PowerShell
Copyright (C) 2015 Microsoft Corporation. All rights reserved.

PS C:\xampp\htdocs\blog> php artisan serve
Laravel development server started: http://127.0.0.1:8000
[Wed Nov 13 11:04:28 2019] 127.0.0.1:52560 [200]: /css/app.css
[Wed Nov 13 11:04:28 2019] 127.0.0.1:52565 [200]: /css/blog-home.css
[Wed Nov 13 11:04:28 2019] 127.0.0.1:52570 [200]: /js/app.js
[Wed Nov 13 11:04:31 2019] 127.0.0.1:52580 [200]: /css/blog-post.css
[Wed Nov 13 11:04:31 2019] 127.0.0.1:52586 [200]: /css/app.css
[Wed Nov 13 11:04:31 2019] 127.0.0.1:52587 [200]: /js/app.js
[Wed Nov 13 11:04:31 2019] 127.0.0.1:52588 [200]: /favicon.ico
[Wed Nov 13 11:05:30 2019] 127.0.0.1:52604 [200]: /css/blog-post.css
[Wed Nov 13 11:05:30 2019] 127.0.0.1:52607 [200]: /css/app.css
[Wed Nov 13 11:05:30 2019] 127.0.0.1:52608 [200]: /js/app.js
[Wed Nov 13 11:05:30 2019] 127.0.0.1:52609 [200]: /favicon.ico
[Wed Nov 13 11:06:03 2019] 127.0.0.1:52616 [200]: /css/blog-post.css
[Wed Nov 13 11:06:03 2019] 127.0.0.1:52676 [200]: /css/app.css
[Wed Nov 13 11:06:03 2019] 127.0.0.1:52677 [200]: /js/app.js
[Wed Nov 13 11:06:04 2019] 127.0.0.1:52678 [200]: /favicon.ico
[Wed Nov 13 11:08:33 2019] 127.0.0.1:52738 [200]: /css/blog-post.css
[Wed Nov 13 11:08:33 2019] 127.0.0.1:52742 [200]: /css/app.css
[Wed Nov 13 11:08:33 2019] 127.0.0.1:52743 [200]: /js/app.js
[Wed Nov 13 11:08:34 2019] 127.0.0.1:52746 [200]: /favicon.ico
[Wed Nov 13 11:08:34 2019] 127.0.0.1:52748 [200]: /css/app.css
[Wed Nov 13 11:08:34 2019] 127.0.0.1:52751 [200]: /css/blog-home.css
[Wed Nov 13 11:08:34 2019] 127.0.0.1:52756 [200]: /js/app.js
[Wed Nov 13 11:08:40 2019] 127.0.0.1:52779 [200]: /css/app.css
[Wed Nov 13 11:08:40 2019] 127.0.0.1:52791 [200]: /css/blog-home.css
[Wed Nov 13 11:08:40 2019] 127.0.0.1:52793 [200]: /js/app.js
[Wed Nov 13 11:09:00 2019] 127.0.0.1:52893 [200]: /favicon.ico
PS C:\xampp\htdocs\blog> php artisan storage:link
The [public/storage] directory has been linked.
PS C:\xampp\htdocs\blog> php artisan serve
Laravel development server started: http://127.0.0.1:8000
[Wed Nov 13 11:11:37 2019] 127.0.0.1:52949 [200]: /css/app.css
[Wed Nov 13 11:11:37 2019] 127.0.0.1:52953 [200]: /css/blog-home.css
[Wed Nov 13 11:11:37 2019] 127.0.0.1:52960 [200]: /js/app.js
[Wed Nov 13 11:11:56 2019] 127.0.0.1:53058 [200]: /favicon.ico
PS C:\xampp\htdocs\blog> cd public
PS C:\xampp\htdocs\blog\public> mklink /d images ../storage/app/images
mklink : The term 'mklink' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify that the path is correct 
and try again.
At line:1 char:1
+ mklink /d images ../storage/app/images
+ ~~~~~~
    + CategoryInfo          : ObjectNotFound: (mklink:String) [], CommandNotFoundException
    + FullyQualifiedErrorId : CommandNotFoundException
 
PS C:\xampp\htdocs\blog\public> ln
ln : The term 'ln' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify that the path is correct and try 
again.
At line:1 char:1
+ ln
+ ~~
    + CategoryInfo          : ObjectNotFound: (ln:String) [], CommandNotFoundException
    + FullyQualifiedErrorId : CommandNotFoundException
 
PS C:\xampp\htdocs\blog\public> mklink
mklink : The term 'mklink' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify that the path is correct
and try again.
At line:1 char:1
+ mklink
+ ~~~~~~
    + CategoryInfo          : ObjectNotFound: (mklink:String) [], CommandNotFoundException
    + FullyQualifiedErrorId : CommandNotFoundException

PS C:\xampp\htdocs\blog\public> php artisan serve
Could not open input file: artisan
PS C:\xampp\htdocs\blog\public> cd..
PS C:\xampp\htdocs\blog> php artisan serve
Laravel development server started: http://127.0.0.1:8000
PS C:\xampp\htdocs\blog> cd public
PS C:\xampp\htdocs\blog\public> cmd /c mklink /D images ../storage/app/images
Invalid switch - "storage".
PS C:\xampp\htdocs\blog\public> cmd /c mklink /D images C:\xampp\htdocs\blog\storage\app\images
You do not have sufficient privilege to perform this operation.
PS C:\xampp\htdocs\blog\public> cmd /c mklink /D images C:/xampp/htdocs/blog/storage/app/images
Invalid switch - "xampp".
PS C:\xampp\htdocs\blog\public> cmd /c mklink /D images C:\xampp\htdocs\blog\storage\app\images
You do not have sufficient privilege to perform this operation.
PS C:\xampp\htdocs\blog\public> runas /user:administrator "mklink args"
Enter the password for administrator:
Attempting to start mklink args as user "DESKTOP-J8RPL9G\administrator" ...
RUNAS ERROR: Unable to run - mklink args
1326: The user name or password is incorrect.
 PS C:\xampp\htdocs\blog\public> runas /user:administrator "mklink args"
Enter the password for administrator:
Attempting to start mklink args as user "DESKTOP-J8RPL9G\administrator" ...
RUNAS ERROR: Unable to run - mklink args
1326: The user name or password is incorrect.
 PS C:\xampp\htdocs\blog\public> runas /user:administrator "mklink args"
Enter the password for administrator:
Attempting to start mklink args as user "DESKTOP-J8RPL9G\administrator" ...
RUNAS ERROR: Unable to run - mklink args
1327: Account restrictions are preventing this user from signing in. For example: blank passwords aren't allowed, sign-in times are limited, or a policy restriction has been enforced.
 PS C:\xampp\htdocs\blog\public> runas /user:administrator "mklink args"
Enter the password for administrator:
Attempting to start mklink args as user "DESKTOP-J8RPL9G\administrator" ...
RUNAS ERROR: Unable to run - mklink args
1326: The user name or password is incorrect.
 PS C:\xampp\htdocs\blog\public> runas /user:administrator "mklink args"
Enter the password for administrator:

--------------run cmd administrator-------

Microsoft Windows [Version 10.0.10240]
(c) 2015 Microsoft Corporation. All rights reserved.

C:\Windows\system32>cd C:\xampp\htdocs\blog\public

C:\xampp\htdocs\blog\public>cmd /c mklink /D images C:\xampp\htdocs\blog\storage\app\images
symbolic link created for images <<===>> C:\xampp\htdocs\blog\storage\app\images

C:\xampp\htdocs\blog\public>
-----------------------------------------------------------
